f3cd icon-taco
f032 icon-tag
f264 icon-tagalt-pricealt
f482 icon-tags
f15f icon-tagvertical
f423 icon-tank
f2a6 icon-target
f04b icon-taskmanager-logprograms
f0e0 icon-tasks
f3a4 icon-taxi
f3cb icon-tea
f42c icon-teapot
f3ef icon-telescope
f20d icon-temperature-thermometer
f20e icon-temperaturealt-thermometeralt
f2ea icon-tennis
f215 icon-tent-camping
f114 icon-terminal
f0f1 icon-tethering
f34b icon-tetrisone
f34d icon-tetristhree
f34c icon-tetristwo
f1f8 icon-text-height
f1f9 icon-text-width
f110 icon-th
f112 icon-th-large
f113 icon-th-list
f39c icon-theather
f041 icon-theme-style
f41d icon-thissideup
f1ab icon-threecolumns
f139 icon-thumbs-down
f138 icon-thumbs-up
f3dc icon-ticket
f39a icon-tictactoe
2040 icon-tie-business
f210 icon-time
f253 icon-timeline
f208 icon-tint
f2ad icon-toast
f384 icon-toiletpaper
f3de icon-tooth
f385 icon-toothbrush
f3f0 icon-tophat
f411 icon-torigate
f115 icon-touchpad
f22a icon-trafficlight
f1a6 icon-transform
f0ce icon-trash
f0cf icon-trashempty
f0d0 icon-trashfull
f422 icon-travel
f0ec icon-treediagram
f37e icon-treeornament
25b3 icon-triangle
f34f icon-tron
f2d7 icon-trophy
f211 icon-truck
f375 icon-trumpet
f164 icon-tumblr
f1a4 icon-tv
f16a icon-twitter
f1a9 icon-twocolumnsleft
f1aa icon-twocolumnsleftalt
f1a7 icon-twocolumnsright
f1a8 icon-twocolumnsrightalt
f120 icon-ubuntu
f218 icon-umbrella
f1f6 icon-underline
f32a icon-undo
f0bf icon-unlock
f302 icon-upleft
f47a icon-upload
f11b icon-uploadalt
f303 icon-upright
f017 icon-uptime
f10d icon-usb
f10e icon-usbalt
f10f icon-usbplug
f133 icon-user
f05d icon-userfilter
f2ec icon-usfootball
f018 icon-value-coins
f1b6 icon-vector
f3c5 icon-vendetta
f17d icon-video
f379 icon-viking
f168 icon-vimeo
f0cc icon-vinyl
f1a5 icon-violin
f0a8 icon-virus
f3c2 icon-visa
f097 icon-visitor
f192 icon-vlc-cone
f18c icon-voice
f0e3 icon-volume-down
f0e4 icon-volume-off
f0e2 icon-volume-up
f025 icon-vps
f1bb icon-wacom
f3bc icon-walle
e000 icon-wallet
f3bf icon-warcraft
f2e4 icon-warmedal
f316 icon-warning-sign
f39b icon-washer
f378 icon-watch
f22d icon-watertap-plumbing
f23c icon-wave-sea
f23b icon-wavealt-seaalt
f0fe icon-webcam
f129 icon-webcamalt
f031 icon-webhostinghub
f045 icon-webmail
f033 icon-webpage
f3c3 icon-webplatform
f01c icon-websitealt
f034 icon-websitebuilder
f430 icon-weight
f26a icon-westernunion
f228 icon-wheel
f3fe icon-wheelchair
f3d8 icon-whistle
f066 icon-whmcs
f0ff icon-wifi
f41b icon-wind
f424 icon-windleft
f019 icon-windows
f425 icon-windright
f238 icon-wine
f03c icon-wizard
f1fb icon-wizardalt
f337 icon-wizardhat
f2a2 icon-woman-female
f24d icon-women
f074 icon-wordpress
f05b icon-wrench
